,Unnamed: 0,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,id
50578,50578.0,Female,Loyal Customer,26.0,Personal Travel,Eco Plus,617.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,12.0,20.0,neutral or dissatisfied,13813
29342,29342.0,Female,disloyal Customer,36.0,Business travel,Eco,308.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,51.0,44.0,neutral or dissatisfied,115549
21772,21772.0,Male,Loyal Customer,28.0,Business travel,Eco Plus,209.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,,3.0,1.0,3.0,4.0,0.0,0.0,satisfied,34828
96426,96426.0,Male,disloyal Customer,24.0,Business travel,Business,356.0,5.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,satisfied,79041
80523,80523.0,Male,Loyal Customer,26.0,Business travel,Eco,515.0,4.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,22.0,24.0,satisfied,26127
55919,55919.0,Male,Loyal Customer,42.0,Personal Travel,Eco,689.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,0.0,5.0,neutral or dissatisfied,85258
16641,16641.0,Male,Loyal Customer,21.0,Business travel,Business,1428.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,satisfied,99912
26220,26220.0,Male,Loyal Customer,65.0,Business travel,Eco Plus,1010.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,11.0,neutral or dissatisfied,36719
62911,62911.0,Female,Loyal Customer,30.0,Business travel,Business,2473.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,0.0,0.0,satisfied,68456
67452,67452.0,Male,Loyal Customer,12.0,Personal Travel,Eco,373.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,5.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,neutral or dissatisfied,116247
48762,48762.0,Female,Loyal Customer,10.0,Personal Travel,Eco,894.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,29.0,71.0,neutral or dissatisfied,24848
71869,71869.0,Male,Loyal Customer,39.0,Personal Travel,Eco,270.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,5.0,5.0,1.0,12.0,0.0,neutral or dissatisfied,88663
89197,89197.0,Male,Loyal Customer,18.0,Personal Travel,Eco,313.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,5.0,1.0,0.0,0.0,neutral or dissatisfied,126517
7644,7644.0,Female,Loyal Customer,26.0,Business travel,Business,511.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,2.0,0.0,satisfied,121653
