Customer,State,Response,Coverage,Education,Effective To Date,Gender,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,EmploymentStatus,Income
FH77504,California,Yes,Premium,Bachelor,1/24/2011,F,Suburban,Single,283.0,16.0,43.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize,Employed,51643
XK87182,Oregon,No,Premium,College,1/25/2011,F,Urban,Married,113.0,7.0,2.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,476.385575,Four-Door Car,Medsize,Employed,46402
HB17438,Washington,No,Extended,Bachelor,2/21/2011,M,Urban,Married,132.0,7.0,77.0,0.0,3.0,Personal Auto,Personal L1,Offer4,Web,617.288574,SUV,Medsize,Employed,92044
DH18269,Arizona,No,Extended,College,1/13/2011,M,Suburban,Divorced,96.0,29.0,93.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,611.476898,Two-Door Car,Medsize,Medical Leave,16040
DP19820,Oregon,No,Extended,College,1/15/2011,M,Suburban,Single,135.0,12.0,84.0,,2.0,Personal Auto,Personal L2,Offer2,Branch,980.52817,SUV,Small,Unemployed,0
IK64989,Washington,Yes,Basic,Bachelor,1/2/2011,M,Suburban,Divorced,65.0,1.0,36.0,1.0,3.0,Personal Auto,Personal L2,Offer1,Agent,312.0,Four-Door Car,Medsize,Retired,17622
MP85571,Arizona,No,Premium,Bachelor,2/20/2011,F,Suburban,Single,188.0,5.0,61.0,4.0,1.0,Personal Auto,Personal L2,Offer3,Agent,2156.011022,SUV,Medsize,Unemployed,0
VO29645,Oregon,Yes,Basic,High School or Below,2/26/2011,M,Suburban,Single,73.0,22.0,13.0,0.0,4.0,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,Medical Leave,12430
GP83239,California,Yes,Extended,College,1/14/2011,M,Suburban,Single,210.0,7.0,24.0,2.0,1.0,Personal Auto,Personal L3,Offer2,Agent,1008.0,Luxury SUV,Small,Employed,58414
GQ21970,Nevada,No,Basic,Bachelor,1/28/2011,F,Suburban,Single,70.0,1.0,88.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,551.132139,Four-Door Car,Small,Disabled,17257
HP40365,Oregon,No,Basic,College,2/5/2011,F,Urban,Divorced,70.0,29.0,82.0,0.0,7.0,Personal Auto,Personal L2,Offer3,Web,328.362698,Two-Door Car,Medsize,Employed,70492
