age,education,default,housing,loan,contact,duration,campaign,pdays,previous,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,marital_unknown,poutcome_failure,poutcome_nonexistent,poutcome_success
40.1498,1,0,0,1,1,105.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,2,1,1,0,1,125.0,5,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40.1498,4,1,0,1,0,111.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39.0,2,0,0,0,1,173.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41.0,1,0,0,0,1,107.0,1,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35.0,5,0,1,0,0,352.0,4,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40.1498,5,1,1,0,1,306.0,4,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
32.0,4,1,0,0,1,50.0,1,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25.0,6,1,0,0,1,216.0,2,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
32.0,6,1,1,1,1,384.0,1,1,0,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,1,0,0,0,1,136.0,2,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55.0,1,0,1,0,0,262.0,1,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39.0,4,1,0,0,1,148.0,1,1,1,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40.1498,6,1,0,0,1,109.0,1,1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30.0,6,1,1,0,1,148.0,2,1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
34.0,4,1,1,0,1,135.0,3,1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
56.0,2,1,1,1,0,37.0,3,1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
42.0,6,1,0,0,1,251.0,2,0,2,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
49.0,5,1,0,0,0,736.0,2,1,0,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
